,Abstract,Advisor,Advisor_Major,Student_Major,Student_Year,Students,Title,Year
39,"The genre of poems about paintings, called ekphrasis, has fascinated poets from Homer to the present. In my senior thesis, I studied the role of visual art in the poetry of John Keats, Wallace Stevens, and John Ashbery.  I examined questions such as how poets rep-resent (or do not represent) visual works such as sculpture and painting in language and the role visual art plays in relation to desire and the imagination. In addition to considering traditional mediums of visual art such as painting and sculpture, I looked at how these poets incorporate visual information into their poetry, such as Keatsâ€™s sonnet Bright Star which focuses on a speaker looking at an object and the attractions and problems of a solely visual engagement with the world. In my presentation, I will discuss a few poems that I analyzed in my paper within the context of my project as a whole.","ADVISOR: Dan Chiasson, English",English,English,2010,Sarah Case,"The Poet as Viewer: John Keats, Wallace Stevens, John Ashbery",2010
40,"Isabella Andreini, actress, poet, and co-leader of the Gelosi troupe at the turn of the sixteenth century negotiated successfully between the poles of oral performance and literary production. She, like many arte actors and actresses, regularly borrowed fragments of text, ranging from Petrarchan sonnets to opuscoli distributed in the piazza, in order to construct the â€œimprovisedâ€ù monologues and dialogues of her character on stage. These performances were then re-translated from oral to textual events as Andreini published collections of monologues, scenari, poems, songs, and letters. My presentation will show how Andreiniâ€™s identity as an actress shaped her literary output and vice versa; how in  her published work we can discern the echo of her performances; and, ultimately, how text and performance interact in the com-media dellâ€™arte.","ADVISOR: Sergio Parussa, Italian Studies",Italian Studies,Italian Studies,2010,Catherine Arnold,"La Divina Isabella: Orality,  Textuality, and the Actress in the Commedia dellâ€™Arte of the Late Sixteenth Century",2010
41,"In the nineteenth century, a Danish ballet dancer would have been instantly recognizable. She would have been trained exclusively in Copenhagen, and perform only Danish ballets. Today on the other hand, most members of the Royal Danish Ballet were born outside of Denmark and are as skilled in modern dance as in classical ballet. The globalization and internationalization of dance is particularly interesting in contemporary dance. This presentation will present original research based on performances and interviews with leaders from the Danish dance community. The history of Danish dance will be discussed as well as what the future may hold for the Scandinavian dance community. (Research supported by the Oï¬ƒce of International Study and the Jean Havekotte Peggs and Fred Peggs Study Abroad Extension Grant.)","ADVISOR: Samantha Cameron, Physical Education, Recreation, and Athletics, and Catherine Ulissey, Physical Education, Recreation, and Athletics","Physical Education, Physical Education",Art History,2011,Emma Wright,A Case Study from Denmark: Is Regional Dance Dead?,2010
42,"Many historians of post-WWII American classical music have focused exclusively on â€œModernistâ€ù works: compositions characterized by atonality, rhythmic and textural complexity, and the use of serial (12-tone) techniques. Yet even while Modernism was at its peak, emotionally expressive, tonal, lyrical, and so-called â€œNeo-romanticâ€ù works were also being composed. By analyzing and performing a selection of so-called â€œModernâ€ù and â€œNeo-romanticâ€ù American art songs, I will question the extent to which Neo-romanticism was both an extension of Romanticism and a reaction to Modernism, and also assert the importance of Neo-romantic works in the history of contemporary American art music.","ADVISOR: Jenny O. Johnson, Music",Music,Music and Neuroscience,2010,Bess Connors,"Neo-romanticism, Modernism, and the Contemporary American Art Song",2010
43,"For my senior honors thesis, I chose to write a song cycle using the poetry of Dorothy Parker as text. Because of the limits presented by conventional Western tonal music, I developed a transposable, non-tonal musical language in which to compose. In this presentation, I will address the following questions: What are some alternatives to major and minor scales that other composers and theoreticians have previously developed? How might the concepts of tonic/dominant and major/minor apply to a non-tonal mode? I will also present excerpts from my song cycle, the harmony of which is based around a palindromic mode where diminished and augmented chords replace major and minor triads, and the â€œtonicâ€ù and â€œdominantâ€ù are related by an augmented fourth. Finally, I will discuss how I used this new musical language to express Dorothy Parkerâ€™s poetry.","ADVISOR: Jenny O. Johnson, Music",Music,Music and Psychology,2010,Laura Staffaroni,Dorothy Parker in Tritones: Writing a New Musical Language,2010
44,"I will present my French Honors thesis/Pamela Daniels Fellowship project: the writing and staging of my adaptation of George Sandâ€™s 1837 novel, Mauprat. The author of the novel adapted the play herself in 1851 for the stage as a result of its extreme popularity. Her play received a lukewarm reception by the public and was criticized by critics of the era. The new adaptation, set as an eighteenth century courtroom drama, chronicles the transformation of Bernard de Mauprat, from a savage into a civilized man as a result of education and love. I will discuss how I adapted a nineteenth century novel for the stage, focusing on the challenges of maintaining the central message of Sand while updating them for a new audience. Several scenes from my play will be performed, after which I will discuss the process of staging and directing based on Sandâ€™s own techniques.","ADVISOR: Catherine Masson, French",French,Neuroscience and French,2010,Janine Hegarty,"George Sandâ€™s Mauprat: A New Adaptation for a New Era (field studies, performance) Pendleton East 139",2010
45,"The ï¬Ånancial and economic crisis that began in 2007 quickly became a topic of much heated debate in the 2008 United States presidential election. However, thorough empirical analysis of the relationship between crises and leadership changes remains relatively inchoate due to two principal reasons, which my research seeks to address. First, the direction of causality between crises and political transitions remains unclear: which precedes the other? The goal of my research is to employ contagion as an instrument to study the causal eï¬€ects of crises on leadership changes, controlling for various country-speciï¬Åc characteristics and variation across time. In addition, I utilize multiple criteria for the crisis variable, instead of focusing mainly on the decline in income as a proxy for all economic or ï¬Ånancial shocks. Speciï¬Åcally, I observe three types of crises: banking crises, income crises, and currency crises.","ADVISOR: Olga Shurchkov, Economics",Economics,Economics and French,2010,Chriss Cho,"Crises, Contagion, and Leadership Changes",2010
46,"Discourse on growing foreign investments and on dysfunctional political structures dominates contemporary West African Francophone geopolitics. New economic partners such as China have opened diï¬€erent frontiers, a situation leading to a lessening regional hegemony from France, the traditional partner of most countries in the region. While some see this provisional autonomy as an opportunity to tackle the daunting task of successfully recreating post-colonial political structures, many governments have used this newfound autonomy to undermine democratic rule in their countries. Niger, one of the largest uranium exporters in the world, underwent a contested constitutional change in favor of indeterminate power rule despite threats of political isolation and economic sanction from ECOWAS, the Economic Community of West African States, and from the European Union. Ultimately, how has the emergence of these new markets, many of which profess a policy of non-interference in politics, changed the governance structure of West African countries?","ADVISOR: Donna A. Patterson, Africana Studies",Africana Studies,Africana Studies and International Relationsâ€“Economics,2010,Halimatou Hima Moussa Dioula,"Politics, Investments, and Instability in a Changing West African Geopolitical Dynamics",2010
47,"In the twentieth century, the traditional idea of Democracy was shaped and questioned by the totalitarian systems which developed during those hundred years. The rise and fall of the Soviets, Fascism, and Nazism were proof of its precariousness and ultimate success. One of the strongest democratic movements of that period, however, occurred in Spain in 1931 with the birth of the Second Spanish Republic. When ï¬Åsticuï¬€s erupted between the newborn Republic and the Bourgeoisie supported by the Fascist armyâ€”igniting the Spanish Civil War (1936-1939)â€”the cries of democratic Spain went unheeded by many western powers. At its beginning, the majority of the population supported the democratic transformation of the country, but by warâ€™s end, democratic sympathies had become a death sentence. What factors led to such an outcome? How did a burgeoning democratic society with majority support fail? Our presentation examines the complex factors that lead to a Fascist victory.","ADVISOR: Elena GascÃ_n-Vera, Spanish",Spanish,"Economics, International Relationsâ€“Economics","2012, 2012","Cailey Stevens, Erica Saldivar",How to Lose a War in a Just Cause: The Failure of Democracy in the Spanish Civil War (1936â€“1939),2010
48,"Two studies on color perception in humans will be presented: the ï¬Årst on color memory and the second on color discrimination. Color memory describes the perceptual phenomena where familiar objects appear more saturated than they truly are. This ï¬Årst line of research explores how color memory inï¬‚uences artistsâ€™ perceptions and consequently renditions of familiar objects. The second study in this presentation analyzes the human ability to discriminate between colors. Subjects were given a delayed match to sample, two alternative forced choice test. It has previously been demonstrated that the human ability to discriminate between colors is not uniform over the visible spectrum. This study seeks to characterize these non-uniformities in humans and compare them to the discriminatory performance of trichromatic macaque monkeys given the same task. Conscious Perception","ADVISOR: Bevil Conway, Neuroscience",Neuroscience,Neuroscience and Anthropology,2010,Kate Munger,Color Memory and Color Discrimination,2010
49,"The Wiest labâ€™s research centers on decoding the neural mechanisms responsible for conscious perception, also known as the neural correlates of consciousness or NCC. We are training rats to perform a detection task in which they must consciously perceive an auditory stimulus. We will eventually reduce the volume of the tone to a level that can be detected only 50% of the time. This way, the same stimulus may or may not produce a conscious perception, depending on whether the rat detects the stimulus or not. Using electrode arrays, we will record from diï¬€erent cortical regions as the rats perform this detection task in order to determine which regions of the brain are involved in generating a conscious perception, and whether neuronal synchronization is required. (Research supported by the Janina A. Longtine Fund for Summer Research in the Natural Sciences and Sherman Fairchild Foundation.)","ADVISOR: Mike Wiest, Neuroscience",Neuroscience,"Neuroscience, Neuroscience, Neuroscience","2010, 2010, 2012","Jillian Cunningham, Neria Douglass, Linnea Herzog",Conscious Perception,2010
50,"Weâ€™ve all heard of politicians who â€œnever forget a face,â€ù but despite empirical reports, the phenomenon has never been studied before. We proposed that individuals in careers that involve more social interaction have a greater ability to remember faces. Participants in the ï¬Åelds of politics, business, and pastoral work completed a demographics survey and took the Super-Recognizer form of the Cambridge Face Memory Test (CFMT). Results indicate that individuals in politics are signiï¬Åcantly better at face memory tasks in comparison to controls, while individuals in business perform within the normal range, and individuals in pastoral work may perform worse. Though contradicting our hypothesis, these results provide important insights into individual diï¬€erences in face recognition and indicate that people in politics are an important group to target for further face memory research.","ADVISOR: Jeremy Wilmer, Psychology",Psychology,Psychology,2010,Emily Strong,I Never Forget a Face: The Link between Face Memory and Career,2010
51,"Attention is a fundamental cognitive process that deï¬Ånes human experience. However, there are limits on our capacity to attend to information that is being presented to us. Meditation may be one way to enhance this attentional capacity, helping individuals achieve greater attentional ï¬‚exibility. The focus of this study was on a phenomenon known as the attentional blink. During this phenomenon, an individualâ€™s attention is captured by one stimulus, which prevents attention to other stimuli for a brief period of time. The eï¬€ect of seven days of meditation on the attentional blink phenomenon was measured. The experimental group included 24 older meditators and the control group included 24 age-matched individuals who did not engage in meditation. The attentional blink was also examined in 24 younger individuals who did not engage in meditation. Performance on questionnaires measuring empathy, rumination, and stress was also investigated before and after seven days of meditation.","ADVISOR: Margaret M. Keane, Psychology, and Catherine Kerr, Harvard Medical School","Psychology, Harvard Medical School",Neuroscience,2010,Priya Josyula,The Effect of Short-term Meditation Training and Aging on Attentional Processing,2010
52,"The muscles of swimming ï¬Åsh expend energy to maintain balance and maneuver-ability, power forward propulsion, and drive respiratory movements. The aim of this study is to investigate the relative energetic costs of these diï¬€erent skeletal muscle roles in Rainbow Trout, Oncorhynchus mykiss, during undulatory swimming. By injecting microspheres into troutsâ€™ bloodstream to trace muscle blood ï¬‚ow and by monitoring oxygen consumption in a ï¬‚ume tank, the correlation between blood ï¬‚ow, muscle oxygen consumption, and aerobic energy expenditure during active swimming is being investigated. Thus, by measuring blood ï¬‚ow through looking at microsphere concentration in speciï¬Åc areas of skeletal muscles, their aerobic energy expenditure is determined. Results indicate the diï¬€erence in functional cost among groups of skeletal muscle, the increase in blood-ï¬‚ow per gram of muscle from anterior to posterior mytomes, and the transition from branchial pumping to ram ventilation during swimming. (Research supported by the National Science Foundation and Howard Hughes Medical Institute.)","ADVISOR: David J. Ellerby, Biological Sciences",Biological Sciences,"Biological Sciences, Biological Sciences","2012, 2011","Samira Daswani, Grace Jung",Skeletal Muscle Bloodï¬‚ow and Energy Cost during Locomotion of Rainbow Trout Oncorhynchus mykiss,2010
53,"Among the fundamental ideas of physical chemistry is the study of the nature of chemical reactions. In general chemistry classes, chemical reactions are described by simple equations such as A + B -> C + D; however, this gives little information about how the reaction actually takes place on a molecular level. As physical chemists, we understand reactions as a series of transitions between known quantum mechanical states, so by mapping how energy ï¬‚ows between these states over the course of a reaction, we know why and how the reaction occurred. As a primary goal, the project consists of the design and construction of an experimental vessel for gaining this type of state-speciï¬Åc information for gas-phase photodissociation reactions. An understanding of the process of photodissocation, A + light -> C + D, is crucial to our understanding of our atmosphere and thus combating problems like global climate change. (Research supported by the Oï¬ƒce of the Dean of the College.)","ADVISOR: Wilton L. Virgo, Chemistry",Chemistry,Chemistry,2010,Madeline Elkins,Versatile Design of a Chamber for Environmental Photochemistry of Small Molecules Using the Velocity Map Imaging Technique,2010
54,"Smooth pursuit eye movements refer to the ability of the eyes to follow a moving object smoothly, e.g., watching a baseball ï¬‚y over a ï¬Åeld. Previous studies in our lab have found a small relationship between smooth pursuit precision and both athletic and video game playing abilities. Surprisingly though, a particularly strong relationship was found with gender, favoring males. We have conducted a replication of the previous studies to see if we would again ï¬Ånd a gender diï¬€erence, and extended those studies to probe for a relation-ship between smooth pursuit precision and current and/or prenatal hormone levels, which are responsible for large sex diï¬€erences in physical abilities and a variety of cognitive tasks. (Research supported by the Oï¬ƒce of the Dean of the College.)","ADVISOR: Jeremy Wilmer, Psychology",Psychology,Neuroscience,2011,Lily Tsoi,Causes and Consequences of Precision of Smooth Pursuit Eye Movements,2010
55,"Water pollution is a major human health problem that limits access to clean drinking water worldwide. Lead is a heavy metal that is commonly found at unsafe levels in freshwater due to pollution. Lead can cause irreversible damage to the reproductive, nervous, and cardiovascular systems. Bioremediation, the use of biological organisms for the treatment of polluted environments, is a promising method for water decontamination. Cyanobacteria have been demonstrated to absorb heavy metals. This project examines the potential of the cyanobacterium Synechocystis for lead bioremediation. To allow easy application and removal from water systems, the bacteria are immobilized in beads made of alginate, a substance derived from brown algae, which contributes to lead removal. The lead removal properties of cyanobacteria immobilized in calcium-alginate beads are being characterized for potential application in environmental lead removal. (Research supported by the Merck/AAAS Undergraduate Science Research Program and the Howard Hughes Medical Institute.)","ADVISOR: Mary M. Allen, Biological Sciences",Biological Sciences,Biological Sciences,2010,Lauren F. Allison,The Application of Cyanobacteria for Lead Bioremediation,2010
56,"The acidiï¬Åcation of natural waters is a problem that aï¬€ects the ecosystem at all levels. The goal of this research is to study how a model bacterium, Synechocystis sp. strain PCC 6803, responds to such conditions; understanding the consequences at a microbial level may provide answers for a multitude of organisms. To study the response due to acidic conditions, changes in protein expression were examined. A variety of lysis methods were utilized and compared for the optimization of protein extraction. Extracted proteins were separated by charge and molecular weight using 2-D gel electrophoresis, revealing diï¬€erential protein expression depending on the pH of the environment. Proteins were treated with trypsin for analysis using MALDI-TOF Mass Spectrometetry, and are being analyzed for identiï¬Åcation. (Research supported by the Brachman Hoï¬€man Fund, Wellesley College, and the Howard Hughes Medical Institute.)","ADVISOR: Mary M. Allen, Biological Sciences",Biological Sciences,Biological Sciences,2010,Gloria Lee,Managing Stress: How a Cyanobacterium Responds to Acidic Conditions,2010
57,"Bioï¬Ålms are deï¬Åned as communities of microorganisms that aggregate and secrete a sticky extracellular matrix consisting mainly of polysaccharides. Although composed of microscopic organisms, these conglomerates of microbes can have a huge aï¬€ect on issues ranging from public health to plumbing. The goal of this research project is to better understand the composition of these cooperative communities and factors aï¬€ecting their growth. To study this biological phenomenon in Synechocystis, bioï¬Ålm communities were grown and analyzed. Confocal microscopy was used to observe the spatial conï¬Åguration of cells to each other and to their extracellular matrix over time. High performance liquid chromatography was used to analyze monosaccharidic components of the extracellular matrix. (Research supported by a Dean of the College grant and the Howard Hughes Medical Institute.)","ADVISOR: Mary M. Allen, Biological Sciences",Biological Sciences,Biological Sciences,2010,Celeste Mallama,A Sticky Situation: Bioï¬Ålm Development in Synechocystis sp. strain PCC 6803,2010
58,"Bioethics is the branch of philosophy that deals with the ethics of science, medicine, and related research and technology. As each new development provokes further bioethical debate, the question arises as to the role of scientists in such debate. Currently, scientists do not oï¬€er much beyond facts and research to bioethical debate, despite the fact that they have the most active role in the overall process. Few scientists have bioethics training, although the number is increasing. However, there is little requirement for or availability of such training at the undergraduate level. This talk presents a series of proposals to add bioethics to the science curriculum of Wellesley College, either by adding a bioethics requirement to the relevant majors, or, perhaps more eï¬€ectively, by incorporating bioethics training into class curricula.","ADVISOR: William Coleman, Chemistry",Chemistry,Biochemistry and Peace and Justice Studies,2010,Kathryn Soderholm,Philosophy for Physicists: Bioethics Training for Undergraduate Science Students,2010
59,"Faith-based organizations provide signiï¬Åcant resources for HIV response and their approaches to HIV prevention diï¬€er from most secular strategies. These diverging positions have sparked global controversy in the media, among public health professionals, and within HIV-aï¬€ected communities. Most discussion focuses on each partyâ€™s respective promotion of abstinence and condom use in preventing HIV transmission. My research explores the nuances in the faith-based and secular rhetorical and ethical frameworks that result in these practical diï¬€erences. I further evaluate the eï¬€ectiveness of various HIV prevention strategies from public health perspectives with case studies, and consider issues of agency and social justice. I am writing about these issues in my Religion Honors Thesis with a focus on the Catholic Church and the United Nations Joint Programme for HIV/AIDS. Through this work I hope to build an understanding of each partyâ€™s position, and identify opportunities for collaboration and improvement of global HIV-related health services.","ADVISOR: Stephen Marini, Religion",Religion,Religion,2010,Erin Duffy,"HIV Prevention: Controversy, Christ, and Condoms",2010
60,"In the past twenty years, forgiveness and reconciliation have become important topics of both theoretical and practical debate. What constitutes forgiveness, who is eligible for forgiveness, and what wrongdoings are â€œfor-givableâ€ù are all questions that have attracted the attention of politicians, philosophers, psychologists, and political scientists. The philosopher Charles Griswold, in his work Forgiveness: A Philosophical Exploration, oï¬€ers a comprehensive response to these questions by positing his own theory of forgiveness. While Griswoldâ€™s theory is a unique and valuable contribution to the current discourse on forgiveness, I argue that his theory contains serious ï¬‚aws that ultimately undermine his own theoretical goals.","ADVISOR: Nicolas de Warren, Philosophy",Philosophy,Philosophy,2010,Hailey Huget,"Forgiveness, Reconciliation, and Accountability: A Critique of a Contemporary Forgiveness Paradigm",2010
61,"In summer 2009, I shadowed various medical professionals to ï¬Ånd a career that would be compatible with my career goals. After exploring diï¬€erent options in healthcare, I decided to dedicate an independent study project to disseminate information and enhance awareness for these careers among Wellesley students. I organized a six-member health professions panel, where each panelist shared a typical day in their chosen career. I administered a survey before and after Wellesley students heard the panelists speak about their careers. The surveys measured Wellesley studentsâ€™ knowledge of allied health professions outside the MD career path. Find out how the panel discussion inï¬‚uenced Wellesley studentsâ€™ attitudes surrounding future career choices.","ADVISOR: Connie Bauman, Physical Education, Recreation, and Athletics, and Jocelyne Dolce, Biological Sciences","Physical Education, Biological Sciences",Economics,2010,Hannah Dornbusch,The Doctorâ€™s Coat Doesnâ€™t Quite Fit!,2010
62,"The ï¬Årst Millennium Development Goal is to eradicate poverty and hunger. While huge strides have been made in reducing poverty, under-nutrition still aï¬€ects more than 88% of the developing worldâ€™s population. This is shown by the fact that more than 146 million children are underweight for their age. In this presentation, we discuss the two invention mechanisms highlighted in Sue Hortonâ€™s paper: those which involve or are similar to primary health care programs (such as micronutrient interventions), and those which largely involve behavioral changes (such as community outreach programs).","ADVISOR: Joseph P. Joyce, Economics",Economics,"Economics and French, Economics and Psychology","2010, 2010","Kerry Scanlon, Bebe Zhao",Hunger and Malnutrition,2010
63,"Financial instability has a great impact on the functioning of the global economy. Our project is based on the paper by Barry Eichengreen, that was discussed during the Copenhagen Consensus conference to address this particular challenge. In light of the recent global ï¬Ånancial crisis, Eichengreenâ€™s ideas and proposals are especially useful to understanding the causes and possible solutions to banking and currency crises. Using cost-beneï¬Åt analysis, we will evaluate four methods to prevent ï¬Ånancial instabilityâ€”re-regulation of ï¬Ånancial markets, capital controls, adopting a global common currency and creating special bond markets for debt denominated in currencies of emerging markets. The results of the analysis have profound policy implications for the World Bank, the IMF and governments worldwide to better manage ï¬Ånancial instability.","ADVISOR: Joseph P. Joyce, Economics",Economics,"Economics and East Asian Studies, International Relationsâ€“Economics, Economics","2010, 2010, 2011","Bellina Tse, Michell Dong, Lehui  Liang","Global Crises, Global Solutionsâ€”Financial Instability",2010
64,"Since September 11, 2001, the idea of terrorism has become a part of our national dialogue and daily lives. Our presentation seeks to examine the costs and beneï¬Åts of potential solutions to this global problem. Unlike some other global crises,  transnational terrorism kills relatively few people every year, yet the fear of an attack is pervasive. Consequently governments pour millions of dollars into anti-terrorism campaigns. Terrorism is not often examined from an economic perspective and many of these solutions are not cost eï¬ƒcient. In  our presentation we will illustrate the diï¬ƒculties in ï¬Ånding a cost eï¬ƒcient and politically viable solution.","ADVISOR: Joseph P. Joyce, Economics",Economics,"Economics, Economics and Italian Studies","2010, 2010","Sara Propp, Alex",Terrorism,2010
65,"Since the onset of the era of ï¬Ånancial globalization, emerging market economies have sharply increased their holding of inter-national reserves, from approximately 8% of their GDP in 1990 to almost 30% of GDP in recent years. One popular explanation for this development is that reserves can serve as a self-insurance tool to insulate domestic economies from foreign adverse shocks. As economies have become more ï¬Ånancially integrated, the potential for sudden reversals in capital ï¬‚ows and the international transmission of ï¬Ånancial stress has increased as well. Therefore, it is especially important to assess the eï¬€ectiveness of reserves as a self-insurance policy tool. This study empirically investigates whether countries with higher levels of reserve assets were able to better withstand the shock from the U.S. subprime crisis. Speciï¬Åcally, we use sovereign credit default swaps (CDS) as an indicator of ï¬Ånancial vulnerability and analyze the relationship between CDS spread movements and reserve accumulation.","ADVISOR: Joseph P. Joyce, Economics",Economics,Economics and Political Science,2010,Leslie Sheng Shen,Foreign Shocks and Domestic Policies: Evidence from Credit Default Swap Spreads,2010
66,"The proliferation of business corporations in the early nineteenth century transformed the American economy. Critics of these enterprises claimed that they were created and owned by wealthy elite, and served interests that were â€œodious to the people.â€ù But little is known about who actually owned shares in early corporations. Using lists of corporate shareholders collected from capital taxes imposed on corporations in New York, which were matched to early property tax records, I compare the wealth and status of those who owned stock in corporations to the general population both in 1791, when there were only two corporations in the state, and in 1826, when there were hundreds. The results shed light on the extent to which ordinary people participated in the proï¬Åts from corporations during this formative period in American history. (Research supported by the Oï¬ƒce of the Dean of the College.)","ADVISOR: Eric Hilt, Economics",Economics,Economics,2010,Jacqueline Valentine,"Who Owned Early Corporations? Wealth, Status, and Stockholding in the Early Nineteenth Century U.S.",2010
67,"Does having bank managers on a ï¬Årmâ€™s board of directors help or harm the ï¬Årm? Theoretically, there are both costs (such as conï¬‚icts of interest) and beneï¬Åts (such as the monitoring role the bankers could play) to bank board representation. Empirical research on Germany and Japan, where companies with close bank relationships depend heavily on banks for ï¬Ånance, banks are represented on their boards, and lending banks are large shareholders, provide systematic evidence that bank representation has a positive eï¬€ect on ï¬Årm performance. Just as German and Japanese banks are credited with the post-WWII industrial successes of their respective economies, banks in nineteenth century New England were a crucial part of its industrialization, and had close ties to industrial ï¬Årms. Using data on Massachusetts corporations from the 1870â€™s, this research tests the hypothesis that bank board representation helped companies weather the Panic of 1873 and the ensuing seven-year depression.","ADVISOR: Eric Hilt, Economics",Economics,Economics and Political Science,2010,June Wang,"The Effect of Bankers on Firm Boards: Evidence from New England, 1871â€“1880",2010
68,"I spent last summer working on a research vessel with scientists in the Edgerton Research Lab at the New England Aquarium. Throughout the summer we used sonar equipment to collect data on ï¬Åsh living around liquid natural gas (LNG) terminals located 13 miles oï¬€shore in Massachusetts Bay. These LNG terminals were recently constructed to help meet increasing energy needs in New England, and consist of extensive subsurface structure. For my senior thesis,  I am using our sonar data to investigate how this subsurface structure may be impacting native ï¬Åsh populations. More speciï¬Åcally, I am focusing on how ï¬Åsh abundance and size vary based on proximity to structure. My work is especially interesting because it demonstrates how scientiï¬Åc research can be utilized in real world situations. Ultimately, I hope to assess how oï¬€shore artiï¬Åcial structures can alter ï¬Åsh population dynamics, and in turn, aï¬€ect the surrounding ecosystems. (Research supported by a Mulhern Summer Research Award.)","ADVISOR: Emily Buchholtz, Biological Sciences",Biological Sciences,Biological Sciences,2010,Catherine Caruso,The End of the Line: Impacts of Offshore LNG Terminals on Native Fish Populations,2010
69,"Research on chemical pollutants is extensive because of their environmental and human health eï¬€ects. Mercury is of concern because organisms can bioaccumulate mercury in the form of a toxic organic compound, methyl mercury. In food webs, levels of mercury can biomagnify, reaching high enough levels to increase mortality, reduce fertility, and cause other neurological eï¬€ects. Although models representing mercury bioaccumulation and biomagniï¬Åcation have been constructed for aquatic food webs, they do not exist for terrestrial food webs. We used food web data collected during 2008 and 2009 to build and parameterize a model of the ï¬‚ow of mercury of a forest food web at the Hubbard Brook Experimental Forest, White Mountains, New Hampshire. We used this model to assess how changing biotic and abiotic factors might aï¬€ect mercury bioaccumulation and biomagniï¬Åcation. (Research supported by an MSP Grant, Wellesley College, and U.S Fish & Wildlife Service, NSRC program.)","ADVISOR: Nicholas Rodehouse,  Biological Sciences",Biological Sciences,Biological Chemistry,2012,Myriam Kuusipalo,Biomagniï¬Åcation and Bioaccumulation of Mercury in a Forest Food Web,2010
70,"The goal of this project was to replace the outdated map of the Wellesley College Botanic Gardens hanging in the Science Center with a new map featuring recent data and utilizing the newest technology. A hand-held GPS unit was used to catalog all the labeled trees in the Wellesley College Botanic Gardens. Then, using Geographic Information Systems (GIS), the data points were overlaid with a map of the campus to create an accurate and cohesive map of the Botanic Gardens. The map shows 330 individual trees and will hang permanently in the Science Center. In addition it is a living document: new data can be entered as more becomes available or as technology improves. This map could serve as a resource to the Wellesley College community for both academic and recreational purposes.","ADVISOR: Marcy Thomas, Biological Sciences",Biological Sciences,Unspecified,2013 and Maia Fitzstevens,Rachel Doyle,Using GPS and GIS to Catalog and Map the Wellesley College Botanic Gardens,2010
71,"Amidst many school-wide changes in the past few years, Wellesley has made major strides in sustainability. We improved our grade on the Sustainable Endowments Instituteâ€™s sustainability report card, are pursuing LEED certiï¬Åcation in the renovation of Alumnae Hall, and are installing a solar panel array. This spring, the Environmental Decision-making class investigated â€œgreen ratings systemsâ€ù for college campuses. High ratings from sources such as the Princeton Review and the Association for the Advancement of Sustainability in Higher Education would increase our visibility to stakeholders, including donors and prospective students. More importantly, participating in ratings systems could also provide feedback and suggestions for future sustainability decisions. Not all ratings systems, however, prioritize behavior that makes environmental or ï¬Åscal sense for our campus. We invite you to hear the results of our semester-long study, learn how Wellesley would do on a variety of rankings, and ï¬Ånd out the truth behind the numbers.","ADVISOR: Beth DeSombre, Environmental Studies/Political Science",Environmental Studies/Political Science,"Environmental Studies, Environmental Studies and Spanish, Environmental Studies and Psychology, Environmental Studies, Environmental Studies, Environmental Studies, Environmental Studies and Economics, Environmental Studies and Political Science, Environmental Studies, Cinema and Media Studies and Environmental Studies, Economics and Environmental Studies","2010, 2010, 2011, 2010, 2011, 2010, 2010, 2010, 2010, 2010, 2010","Lauren Fink, Melanie Kazenel, Sooyeon Kho, Kelsey McFadden, Caitlin McGlynn, Shaina Meyer, Alana Nelson, Lindsey Reed, Devaja Shafer, Katie Wingate, Jane Zhou",An Analysis of Sustainability Rankings in Higher Education,2010
72,"Astor Piazzolla (March 11, 1921â€“July 4, 1992) was an Argentine composer who wrote music for many diï¬€erent instruments and ensembles. His compositions are known for their tango ï¬‚are, but also incorporate classical and jazz elements. Some of his most important works for piano trio were his Four Seasons of Buenos Aires, Oblivion, and Muerte del Angel (Death of the Angel). The Four Seasons of Buenos Aires was meant as homage to Vivaldiâ€™s original Four Seasons, quoting from familiar pieces in the string repertoire. Oblivion is a short beautiful piece that has been featured in popular ï¬Ålms and played all over the world. And Muerte del Angel was originally composed for a play called Tango del Angel, in which an angel heals the spirits of the citizens of a town in Buenos Aires, and is subsequently killed. This compilation of three works will provide an interesting insight into Astor Piazzollaâ€™s fascinating life and career.","ADVISOR: Jan Pfeiffer, Music",Music,"Biology and Music, Bioethics, Unspecified","2010, 2010, 2013","Veronika Blinder, , Virginia Hung",Tango by Piazzolla: A Journey into the Life of Astor Piazzolla,2010
73,"Jack in the Shutter Box, a musical written and produced by Wellesley students, tells a story of dreams and denial. The two-year writing and production process challenged librettist Andreya and composer/lyricist Anita in every way: as writers, as planners, as implementers, as friends. From holding auditions to holding our breaths opening night, every facet of the show both tested what we knew and taught us what we could do. In this presentation we will discuss the unique experience of collaboration and creation in a college setting and the circumstances that shaped the production of our show.","ADVISOR: Jenny O. Johnson, Music",Music,"Music, Computer Science","2010, 2010","Anita Leechor, Andreya Piplica",Outside the Shutter Box: The Process of Making a Musical,2010
